id,district_id,name_current,name_old,is_merged
228,17,Xã Lộc An,,False
229,18,Phường Phú Mỹ,,False
230,18,Xã Tân Hoà,,False
231,18,Xã Tân Hải,,False
232,18,Phường Phước Hoà,,False
233,18,Phường Tân Phước,,False
234,18,Phường Mỹ Xuân,,False
235,18,Xã Sông Xoài,,False
236,18,Phường Hắc Dịch,,False
237,18,Xã Châu Pha,,False
238,18,Xã Tóc Tiên,,False
239,20,Phường Thọ Xương,,False
240,20,Phường Trần Nguyên Hãn,,False
241,20,Phường Ngô Quyền,,False
242,20,Phường Hoàng Văn Thụ,,False
243,20,Phường Trần Phú,,False
244,20,Phường Mỹ Độ,,False
245,20,Phường Lê Lợi,,False
246,20,Xã Song Mai,,False
247,20,Phường Xương Giang,,False
248,20,Phường Đa Mai,,False
249,20,Phường Dĩnh Kế,,False
250,20,Xã Dĩnh Trì,,False
251,20,Xã Tân Mỹ,,False
252,20,Xã Đồng Sơn,,False
253,20,Xã Tân Tiến,,False
254,20,Xã Song Khê,,False
255,21,Xã Đồng Tiến,,False
256,21,Xã Canh Nậu,,False
257,21,Xã Xuân Lương,,False
258,21,Xã Tam Tiến,,False
259,21,Xã Đồng Vương,,False
260,21,Xã Đồng Hưu,,False
261,21,Xã Đồng Tâm,,False
262,21,Xã Tam Hiệp,,False
263,21,Xã Tiến Thắng,,False
264,21,Xã Hồng Kỳ,,False
265,21,Xã Đồng Lạc,,False
266,21,Xã Đông Sơn,,False
267,21,Xã Tân Hiệp,,False
268,21,Xã Hương Vĩ,,False
269,21,Xã Đồng Kỳ,,False
270,21,Xã An Thượng,,False
271,21,Thị trấn Phồn Xương,,False
272,21,Xã Tân Sỏi,,False
273,21,Thị trấn Bố Hạ,,False
274,22,Xã Lan Giới,,False
275,22,Thị trấn Nhã Nam,,False
276,22,Xã Tân Trung,,False
277,22,Xã Đại Hóa,,False
278,22,Xã Quang Tiến,,False
279,22,Xã Phúc Sơn,,False
280,22,Xã An Dương,,False
281,22,Xã Phúc Hòa,,False
282,22,Xã Liên Sơn,,False
283,22,Xã Hợp Đức,,False
284,22,Xã Lam Cốt,,False
285,22,Xã Cao Xá,,False
286,22,Thị trấn Cao Thượng,,False
287,22,Xã Việt Ngọc,,False
288,22,Xã Song Vân,,False
289,22,Xã Ngọc Châu,,False
290,22,Xã Ngọc Vân,,False
291,22,Xã Việt Lập,,False
292,22,Xã Liên Chung,,False
293,22,Xã Ngọc Thiện,,False
294,22,Xã Ngọc Lý,,False
295,22,Xã Quế Nham,,False
296,23,Thị trấn Vôi,,False
297,23,Xã Nghĩa Hòa,,False
298,23,Xã Nghĩa Hưng,,False
299,23,Xã Quang Thịnh,,False
